gw,Player,playerID,Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,TotDist,PrgDist,xA,KP,Passes_Final_Third,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,Inswinging,Outswinging,Str,Pass_Offside,TklW,Def_3rd,Mid_3rd,Att_3rd,TklPct,Lost,Pass,TklAndInterceptions,Clr,Err,Def_Pen,Att_Pen,SuccPct,Tkld,TkldPct,CPA,Mis,Dis,Rec,PrgR,SecondCrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,WonPct,SoTA,GA,Saves,SavePct,PSxG,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,NumOPA,AvgDist
4,Emmanuel Dennis,2c44a35d,25,NGA,LW,24,22,0,0,0,0,2,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,8,11,72.7,2,13,1,1,152,59,0.0,0,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,20.0,4,80.0,0,1,0,14,4,0,0,2,0,0,0,2,0,,,,,,,,,,,,,,
4,Eric Dier,ac861941,15,ENG,CB,28,90,0,0,0,0,0,0,0,0,63,0,1,2,0.0,0.0,0.0,0,0,51,59,86.4,1,32,0,0,885,331,0.0,0,1,0,0,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,0,15,0,,0,,0,0,0,44,0,0,1,0,0,0,0,3,2,100.0,,,,,,,,,,,,,
4,Harry Kane,21a66f6a,10,ENG,FW,29,90,2,0,0,1,5,3,1,0,50,0,0,2,1.4,0.6,0.2,6,0,23,33,69.7,5,34,3,1,538,245,0.1,3,6,4,2,31,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,3,20.0,3,60.0,2,4,1,40,4,0,2,3,0,0,0,3,1,16.7,,,,,,,,,,,,,
4,Harry Toffolo,a105d46a,15,ENG,WB,27,90,0,0,0,0,0,0,0,0,64,2,2,1,0.0,0.0,0.0,3,0,45,57,78.9,4,23,1,1,620,186,0.1,0,1,2,1,49,8,0,0,0,4,8,0,0,0,0,0,1,0,2,0,,0,1,4,2,0,2,0,100.0,0,0.0,0,0,0,41,13,0,1,2,0,0,0,6,2,40.0,,,,,,,,,,,,,
4,Hugo Lloris,8f62b6ee,1,FRA,GK,35,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,40,70.0,0,22,0,0,712,454,0.0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,42,0,,0,,0,0,0,19,0,0,0,0,0,0,0,3,0,,1,0,1,100.0,0.0,8,33.3,31.9,17,2,11.8,2,10.3
4,Ivan Perišić,6fe90922,14,CRO,WB,33,73,0,0,0,0,1,0,0,0,36,3,1,0,0.0,0.0,0.0,0,0,18,27,66.7,0,15,3,1,288,62,0.1,0,0,0,0,21,5,0,0,0,2,5,0,0,0,0,1,2,3,0,0,50.0,2,0,4,1,0,3,4,33.3,1,33.3,3,0,1,18,3,0,1,0,0,0,0,2,1,50.0,,,,,,,,,,,,,
4,Jesse Lingard,810e3c74,11,ENG,FW,29,68,0,0,0,0,1,0,0,0,34,0,0,2,0.0,0.0,0.2,4,0,28,30,93.3,4,17,2,0,354,64,0.1,3,3,1,0,28,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,3,0.0,1,100.0,0,0,0,27,5,0,0,3,0,0,0,3,0,,,,,,,,,,,,,,
4,Joe Worrall,a5212312,4,ENG,CB,25,90,0,0,0,0,1,0,1,0,94,3,2,2,0.1,0.1,0.0,0,0,79,85,92.9,9,52,1,1,1558,569,0.0,0,12,0,0,84,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,,0,0,5,1,0,6,2,100.0,0,0.0,0,0,0,71,0,0,1,0,0,0,0,8,3,100.0,,,,,,,,,,,,,
4,Lewis O'Brien,089667a5,14,ENG,CM,23,74,0,0,0,0,1,1,1,0,60,1,1,3,0.0,0.0,0.0,2,0,45,50,90.0,8,33,0,0,900,158,0.0,1,5,0,0,48,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,50.0,1,3,2,0,0,1,1,,0,,1,2,0,44,0,0,1,1,0,0,0,3,0,0.0,,,,,,,,,,,,,
4,Morgan Gibbs-White,32f60ed8,10,ENG,AM,22,90,0,0,0,0,2,0,0,0,73,1,0,0,0.1,0.1,0.1,4,0,41,61,67.2,11,41,2,1,708,212,0.3,2,5,4,0,52,9,2,0,1,9,1,6,3,2,1,0,1,0,1,0,100.0,0,0,1,0,0,0,6,50.0,1,50.0,0,6,1,56,12,0,1,1,0,0,0,5,1,33.3,,,,,,,,,,,,,
